customer_id,total_sales,total_profit,order_count,days_since_last_order,avg_order_value,segment,PC1,PC2,segment_strategy
AA-10315,5563.56,-362.8825,5,184,1112.712,Low Value,0.8896714751447213,0.9649075990321548,Use low-cost retention strategies and remarketing.
AA-10375,1056.39,277.3824,9,19,117.37666666666668,High Value,-0.4734869801573431,-1.4674946957345782,"Offer loyalty rewards, early access, and exclusive services."
AA-10480,1790.5120000000002,435.8274,4,259,447.628,High Value,-0.6164861618273393,0.9450539588047316,"Offer loyalty rewards, early access, and exclusive services."
AA-10645,5086.935,857.8033,6,55,847.8224999999999,Low Value,1.294460436869569,0.2037650359513173,Use low-cost retention strategies and remarketing.
AB-10015,886.156,129.3465,3,415,295.38533333333334,Medium Value,-1.4306061596320885,1.5561219240474236,Upsell and cross-sell through bundles and promos.
AB-10060,7755.62,2054.5885,8,54,969.4525,Low Value,2.9221264490323744,0.0657018850739717,Use low-cost retention strategies and remarketing.
AB-10105,14473.570999999998,5444.8055,10,41,1447.3570999999995,At Risk,7.069543988570066,0.6236690832983826,"Send re-engagement emails, discounts, and check-in calls."
AB-10150,966.71,313.6597,5,41,193.342,High Value,-0.8777192407872868,-0.3444004433380832,"Offer loyalty rewards, early access, and exclusive services."
AB-10165,1113.838,220.813,8,25,139.22975,High Value,-0.5853300775431775,-1.1905396026138482,"Offer loyalty rewards, early access, and exclusive services."
AB-10255,914.532,264.5675,9,166,101.61466666666666,High Value,-0.6626964530936204,-0.9531992225558864,"Offer loyalty rewards, early access, and exclusive services."
AB-10600,1515.862,-274.9604,4,50,378.9655,High Value,-0.93985032686674,0.0130082762080668,"Offer loyalty rewards, early access, and exclusive services."
AC-10420,925.8,-62.1342,3,232,308.6,High Value,-1.3398897511941663,0.875224910665151,"Offer loyalty rewards, early access, and exclusive services."
AC-10450,5527.846,1366.0098,7,11,789.6922857142856,Low Value,1.7409773964187316,-0.1600548128659975,Use low-cost retention strategies and remarketing.
